venue.id,mean,sd,park_effect,park_effect_halved,park_effect_p_1sd,park_effect_m_1sd,park_effect_halved_m_1sd,park_effect_halved_p_1sd,venue.name,years,level,year,teams.home.team.id,teams.home.team.name,level_num
2953,1.77938045860161,1.0941973194362233,118,109,141,96,98,120,Parque Francisco I. Madero,1,Triple-A,2014,502,Saraperos de Saltillo,11
3029,1.6173080385418726,0.7781746083355326,118,109,135,101,101,118,Estadio Universitario,2,Winter League,2014,695,Leones del Caracas,17
4350,1.8453764048520458,0.6513119547384544,118,109,131,106,103,115,Suplizio Field,2,Rookie Advanced,2014,4364,Grand Junction Rockies,5442
2835,1.641867821030806,0.3533532500695302,118,109,126,110,105,113,Recreation Park,3,Class A Advanced,2014,516,Visalia Rawhide,13
2835,1.6617023773527169,0.32829263582714674,118,109,125,111,106,113,Recreation Park,4,Class A Advanced,2014,516,Visalia Rawhide,13
3789,1.6138241668325695,0.551892838849901,118,109,130,106,103,115,Aces Ballpark,1,Triple-A,2015,2310,Reno Aces,11
2810,1.5950568301481256,0.9671119361960089,118,109,140,97,98,120,Memorial Stadium,1,Class A Short Season,2015,480,Boise Hawks,15
2510,1.6009798284318004,1.2055384850603974,118,109,146,91,96,123,Estadio Jose Bernardo Perez,1,Winter League,2015,696,Navegantes del Magallanes,17
2956,1.7189921227985145,0.4256552502134641,118,109,127,109,105,113,Estadio de la Revolucion,3,Triple-A,2015,447,Vaqueros de la Laguna,11
2859,1.5440498100725266,0.8820745285087899,118,109,138,98,99,119,Volcanoes Stadium,3,Class A Short Season,2015,578,Salem-Keizer Volcanoes,15
2510,1.5712248807280904,0.6391942310704024,118,109,132,104,102,116,Estadio Jose Bernardo Perez,3,Winter League,2015,696,Navegantes del Magallanes,17
2825,1.8241561652167162,0.5875777894442344,118,109,129,107,103,115,Home of the OWLZ,3,Rookie Advanced,2015,519,Orem Owlz,5442
2503,1.7558464516297774,0.378079329910683,118,109,126,111,105,113,Cashman Field,4,Triple-A,2015,400,Las Vegas 51s,11
2835,1.6067782377913906,0.3250056175305077,118,109,125,111,105,113,Recreation Park,4,Class A Advanced,2015,516,Visalia Rawhide,13
2859,1.5768247379837388,0.7527437477208666,118,109,136,101,101,118,Volcanoes Stadium,4,Class A Short Season,2015,578,Salem-Keizer Volcanoes,15
2825,1.9023450597942917,0.528171448511917,118,109,128,108,104,114,Home of the OWLZ,4,Rookie Advanced,2015,519,Orem Owlz,5442
2835,1.6330882400487992,0.30660609378865655,118,109,125,112,106,113,Recreation Park,5,Class A Advanced,2015,516,Visalia Rawhide,13
2603,1.6613814285259174,1.0876782901499347,118,109,140,95,97,120,Surprise Stadium,5,Rookie,2015,411,AZL Rangers,16
2683,1.6462420710868686,1.6032039677435324,118,109,154,83,92,127,Isotopes Park,1,Triple-A,2016,342,Albuquerque Isotopes,11
2762,1.5132876088877087,1.1995184284406868,118,109,145,90,95,122,Everett Memorial Stadium,2,Class A Short Season,2016,403,Everett AquaSox,15
4213,1.5187892501863132,0.6668465966498904,118,109,133,102,101,116,Norwood Oval,2,Winter League,2016,4064,Adelaide Bite,17
2510,1.5538959662595804,1.1730093297224347,118,109,144,92,96,122,Estadio Jose Bernardo Perez,4,Winter League,2016,696,Navegantes del Magallanes,17
